PayableID,BuySellNo,ItemID,CpID,Amount,FxAmount,CurrencyCd,InvoiceNo,InvoiceDt,RcvDt,Posted,IsCheck,CheckNo,APBatchNo,Reference_Date,GLAcct
659166,INV58743,17012,1775,1050,1050,USD,AP-OFFSET,2024-12-03 00:00:00,2024-12-03 00:00:00,1,NULL,NULL,112341,NULL,NULL
659167,INV58744,17013,1775,1050,1050,USD,AP-OFFSET,2024-12-04 00:00:00,2024-12-04 00:00:00,1,NULL,NULL,112342,NULL,NULL
659168,INV58745,17014,1775,1050,1050,USD,AP-OFFSET,2024-12-05 00:00:00,2024-12-05 00:00:00,1,NULL,NULL,112343,NULL,NULL
659178,58543,NULL,2106,9454.2,9454.2,USD,13495,2024-12-16 00:00:00,2024-12-23 00:00:00,1,NULL,NULL,112377,NULL,50100
659180,58694,NULL,2557,892.2,892.2,USD,270913,2024-11-25 00:00:00,2024-12-20 00:00:00,1,NULL,NULL,112351,NULL,50100
659188,58746,NULL,1775,-1050,-1050,USD,INV58746,2024-12-06 00:00:00,2024-12-06 00:00:00,1,NULL,NULL,112384,NULL,50100
659202,58753,17015,2242,-163.21,-163.21,USD,13061,2024-12-11 00:00:00,2024-12-11 00:00:00,1,NULL,NULL,112471,NULL,50200
659227,58816,17016,1620,1735,1735,USD,INV4739999,2025-01-03 00:00:00,2025-01-03 00:00:00,1,NULL,NULL,112593,NULL,50200
659248,58818,17018,1550,1275,1275,USD,8178672,2024-12-23 00:00:00,2025-01-02 00:00:00,1,NULL,NULL,112406,NULL,50200
659249,58582,NULL,2106,3613.17,3613.17,USD,13496,2024-12-16 00:00:00,2024-12-16 00:00:00,1,NULL,NULL,112374,NULL,50100
659289,58765,NULL,1775,-1050,-1050,USD,756827,2024-12-12 00:00:00,2024-12-20 00:00:00,1,NULL,NULL,112352,NULL,50100
659293,58767,NULL,1775,-1050,-1050,USD,INV5867,2025-01-14 00:00:00,2025-01-14 00:00:00,1,NULL,NULL,112457,NULL,50100
659294,58766,NULL,1775,-1050,-1050,USD,INV58766,2025-01-14 00:00:00,2025-01-14 00:00:00,1,NULL,NULL,112456,NULL,50100
659327,58734,17020,1550,1275,1275,USD,8184301,2024-12-26 00:00:00,2024-12-26 00:00:00,1,NULL,NULL,112607,NULL,50200
659350,58775,17021,1550,1000,1000,USD,8185469,2024-12-23 00:00:00,2025-01-02 00:00:00,1,NULL,NULL,112404,NULL,50200
659354,58774,17022,2223,760,760,USD,758773,2025-01-02 00:00:00,2025-01-10 00:00:00,1,NULL,NULL,112445,NULL,50200
659362,58833,17024,2090,1250,1250,USD,A-496920,2025-01-15 00:00:00,2025-01-15 00:00:00,1,NULL,NULL,112488,NULL,50200
659384,58834,17025,1550,1325,1325,USD,8184335,2024-12-23 00:00:00,2025-01-10 00:00:00,1,NULL,NULL,112432,NULL,50200
659437,58819,17026,2090,600,600,USD,A-497307,2024-12-24 00:00:00,2024-12-24 00:00:00,1,NULL,NULL,112440,NULL,50200
659451,58816,17027,1620,2140,2140,USD,INV4739999,2025-01-03 00:00:00,2025-01-03 00:00:00,1,NULL,NULL,112593,NULL,50200
659469,58735,17028,2223,625,625,USD,758345,2024-12-23 00:00:00,2025-01-06 00:00:00,1,NULL,NULL,112410,NULL,50200
659479,58655,17030,2484,16,16,USD,12160,2024-11-18 00:00:00,2024-12-19 00:00:00,1,NULL,NULL,112344,NULL,50200
659499,58842,17032,1292,543.13,543.13,USD,3610,2025-01-16 00:00:00,2025-01-16 00:00:00,1,NULL,NULL,112483,NULL,50100
659500,58842,17033,2106,1108.6,1108.6,USD,13502,2024-12-20 00:00:00,2025-01-16 00:00:00,1,NULL,NULL,112485,NULL,50300
659532,58815,17003,1292,831.75,831.75,USD,3602,2024-12-20 00:00:00,2024-12-20 00:00:00,1,NULL,NULL,112390,NULL,50100
659535,58759,16955,2374,173.81,173.81,USD,10364/58759,2024-12-16 00:00:00,2025-01-14 00:00:00,1,NULL,NULL,112461,NULL,50100
659540,58779,16980,2374,63.6,63.6,USD,10375/58779,2024-12-17 00:00:00,2025-01-14 00:00:00,1,NULL,NULL,112462,NULL,50100
659564,58846,17038,1550,1030,1030,USD,8196926,2025-01-06 00:00:00,2025-01-10 00:00:00,1,NULL,NULL,112431,NULL,50200
659581,58624,17039,1550,-150,-150,USD,8037319,2024-11-02 00:00:00,2024-11-02 00:00:00,1,NULL,NULL,112347,NULL,50200
659582,58624,NULL,2576,1395.45,1395.45,USD,10271,2025-01-01 00:00:00,2025-01-01 00:00:00,1,NULL,NULL,113651,NULL,50100
659583,58753,NULL,2242,418.8,418.8,USD,13061,2024-12-11 00:00:00,2024-12-11 00:00:00,1,NULL,NULL,112471,NULL,50100
659595,58706,17040,1550,-150,-150,USD,8098977,2024-11-22 00:00:00,2024-11-22 00:00:00,1,NULL,NULL,112371,NULL,50200
659601,58760,NULL,1429,1508.04,1508.04,USD,55960,2024-12-17 00:00:00,2024-12-26 00:00:00,1,NULL,NULL,112388,NULL,50100
659613,58729,NULL,2181,-350,-350,USD,INV58729,2025-01-27 00:00:00,2025-01-27 00:00:00,1,NULL,NULL,112518,NULL,50100
659621,58768,NULL,1775,-1050,-1050,USD,INV58768,2025-01-14 00:00:00,2025-01-14 00:00:00,1,NULL,NULL,112458,NULL,50100
659643,58486,NULL,1311,2928.59,2928.59,USD,104688,2024-11-22 00:00:00,2024-12-23 00:00:00,1,NULL,NULL,112367,NULL,50100
659666,58765,NULL,1775,1050,1050,USD,U-756827,2024-12-12 00:00:00,2024-12-12 00:00:00,1,NULL,NULL,112373,NULL,50100
659667,58765,NULL,1775,-1050,-1050,USD,INV58765,2024-12-26 00:00:00,2024-12-26 00:00:00,1,NULL,NULL,112385,2024-12-12 00:00:00,50100
659672,58795,NULL,2570,6670.56,6670.56,USD,10382,2024-12-13 00:00:00,2024-12-23 00:00:00,1,NULL,NULL,112378,NULL,50100
659673,58796,NULL,2570,6706.56,6706.56,USD,10383,2024-12-16 00:00:00,2024-12-23 00:00:00,1,NULL,NULL,112379,NULL,50100
659674,58797,NULL,2570,6731.2,6731.2,USD,10384,2024-12-17 00:00:00,2024-12-23 00:00:00,1,NULL,NULL,112380,NULL,50100
659675,58798,NULL,2570,6268,6268,USD,10385,2024-12-18 00:00:00,2024-12-23 00:00:00,1,NULL,NULL,112381,NULL,50100
659677,58852,17041,2589,2150,2150,USD,2808367A,2025-01-08 00:00:00,2025-01-08 00:00:00,1,NULL,NULL,112420,NULL,50200
659679,58853,17042,2589,2150,2150,USD,2808368A,2024-12-30 00:00:00,2025-01-10 00:00:00,1,NULL,NULL,112450,NULL,50200
659712,58841,17043,2223,875,875,USD,758623,2025-01-07 00:00:00,2025-01-10 00:00:00,1,NULL,NULL,112436,NULL,50200
659714,58840,17044,2223,875,875,USD,758621,2025-01-07 00:00:00,2025-01-10 00:00:00,1,NULL,NULL,112437,NULL,50200
659755,58563,NULL,1630,2970.18,2970.18,USD,11059,2024-10-14 00:00:00,2025-01-10 00:00:00,1,NULL,NULL,112447,NULL,50100
659760,58814,NULL,1428,822.72,822.72,USD,10403/58814,2024-12-19 00:00:00,2025-03-07 00:00:00,1,NULL,NULL,112746,NULL,50100
659761,58815,NULL,1292,2663.5,2663.5,USD,3602,2024-12-20 00:00:00,2024-12-20 00:00:00,1,NULL,NULL,112390,NULL,50100
659762,58811,NULL,2254,250.34,250.34,USD,122024-P,2024-12-26 00:00:00,2024-12-26 00:00:00,1,NULL,NULL,112387,NULL,50100
659772,INV58746,17047,1775,1050,1050,USD,AP-OFFSET,2024-12-06 00:00:00,2024-12-06 00:00:00,1,NULL,NULL,112384,NULL,NULL
659773,INV58765,17048,1775,1050,1050,USD,AP-OFFSET,2024-12-26 00:00:00,2024-12-26 00:00:00,1,NULL,NULL,112385,NULL,NULL
659777,58819,NULL,2570,3270.64,3270.64,USD,10409,2024-12-19 00:00:00,2024-12-27 00:00:00,1,NULL,NULL,112396,NULL,50100
659897,58732,NULL,2134,100,100,USD,74393,2024-12-19 00:00:00,2025-01-06 00:00:00,1,NULL,NULL,112413,NULL,50100
659911,58820,17049,2223,455,455,USD,759101,2025-01-08 00:00:00,2025-01-10 00:00:00,1,NULL,NULL,112446,NULL,50200
659914,58848,17050,2223,615,615,USD,760074,2025-01-10 00:00:00,2025-01-16 00:00:00,1,NULL,NULL,112469,NULL,50200
659915,58847,17051,2223,615,615,USD,760075,2025-01-22 00:00:00,2025-01-30 00:00:00,1,NULL,NULL,112525,NULL,50200
659916,58759,NULL,2363,399.32,399.32,USD,AIMA0002412,2025-02-01 00:00:00,2025-02-12 00:00:00,1,NULL,NULL,112598,NULL,50100
659942,58772,NULL,2061,708.8,708.8,USD,1030,2024-12-10 00:00:00,2025-01-06 00:00:00,1,NULL,NULL,112414,NULL,50100
659943,58773,NULL,2061,708.96,708.96,USD,1031,2024-12-12 00:00:00,2025-01-06 00:00:00,1,NULL,NULL,112415,NULL,50100
659952,58750,NULL,2115,8200.8,8200.8,USD,SP241123,2024-12-04 00:00:00,2025-01-10 00:00:00,1,NULL,NULL,112427,NULL,50100
659955,58735,NULL,2023,100,100,USD,65734,2024-12-19 00:00:00,2025-01-10 00:00:00,1,NULL,NULL,112434,NULL,50100
659962,58819,17052,2090,-150,-150,USD,A-497307,2024-12-24 00:00:00,2024-12-24 00:00:00,1,NULL,NULL,112440,NULL,50200
659976,58799,NULL,2570,6268,6268,USD,10386,2024-12-18 00:00:00,2025-01-02 00:00:00,1,NULL,NULL,112399,NULL,50100
659977,58800,NULL,2570,6725.12,6725.12,USD,10387,2024-12-23 00:00:00,2025-01-02 00:00:00,1,NULL,NULL,112400,NULL,50100
659978,58801,NULL,2570,6733.12,6733.12,USD,10388,2024-12-20 00:00:00,2025-01-02 00:00:00,1,NULL,NULL,112401,NULL,50100
659979,58853,NULL,2570,2127.3,2127.3,USD,10432,2024-12-30 00:00:00,2025-01-02 00:00:00,1,NULL,NULL,112402,NULL,50100
659993,58872,17053,2427,340,340,USD,136316,2025-04-14 00:00:00,2025-04-16 00:00:00,1,NULL,NULL,112982,NULL,50200
659995,58868,17054,2427,340,340,USD,114214,2025-01-03 00:00:00,2025-01-06 00:00:00,1,NULL,NULL,112412,NULL,50200
659998,58869,17055,2427,340,340,USD,114882,2025-01-08 00:00:00,2025-01-10 00:00:00,1,NULL,NULL,112448,NULL,50200
660000,58870,17056,2427,340,340,USD,124369,2025-02-28 00:00:00,2025-03-06 00:00:00,1,NULL,NULL,112732,NULL,50200
