ref,role,user_id,alias,name-check (internal),name,street,street2,city,state_id,zip,country
1638,Expense,,SACCO TRUCKING INC,TRUE,SACCO TRUCKING INC,2441 Renwick Street,,Oakland,CA,94601,United States
1166,Expense,,P&R TRUCKING INC,TRUE,P&R TRUCKING INC,740 Julie Ann Way,,Oakland,CA,94621,United States
1125,Customer,,SUMMERTIME FARMS INC,TRUE,SUMMERTIME FARMS INC,11 Parr Blvd.,,Richmond,CA,94801,United States
2303,"Supplier,Expense",Igor Beylin,A&S METALS,TRUE,A&S METALS,PO Box 955,,Castroville,CA,95012,United States
1532,"Customer,Supplier,Expense",,GREENWASTE RECOVERY LLC,TRUE,GREENWASTE RECOVERY LLC,610 E Gish Rd,,San Jose,CA,95112,United States
2207,"Customer,Supplier,Expense",Igor Beylin,BAY POLYMER,TRUE,BAY POLYMER,1330 E VICTOR RD,,LODI,CA,95240,United States
2300,"Customer,Expense",,MING'S RECYCLING,TRUE,MING'S RECYCLING,3316 47th Avenue,,Sacramento,CA,95824,United States
2258,"Supplier,Expense",Igor Beylin,GREEN EVOLUTION RECYCLING,TRUE,GREEN EVOLUTION RECYCLING,4800 Florin Perkins Road,,Sacramento,CA,95826,United States
2044,"Customer,Supplier,Expense",,PREZERO US SERVICES LLC,TRUE,PREZERO US SERVICES LLC,3155 South 5th Ave,,Oroville,CA,95965,United States
1934,"Supplier,Expense",Igor Beylin,LUNDBERG FAMILY FARMS,TRUE,LUNDBERG FAMILY FARMS,5311 Midway,P.O. Box 369,Richvale,CA,95974,United States
1911,"Supplier,Expense",Lindsey Malyavko,SUNSWEET COMPANY,TRUE,SUNSWEET COMPANY,901 N. Walton Ave,,Yuba City,CA,95991,United States
1469,"Supplier,Expense",,SPECIALIZED FIBERS,TRUE,SPECIALIZED FIBERS,PO Box 735,,Corning,CA,96021,United States
2244,"Supplier,Expense",Igor Beylin,PACIFIC PALLET EXCHANGE INC,TRUE,PACIFIC PALLET EXCHANGE INC,3315 51St. Ave,,Sacramento,CA,958233,United States
1850,"Supplier,Expense",,RECOLOGY,TRUE,RECOLOGY,PO Box 888172,,Los Angeles,CA,90088-8172,United States
1767,"Supplier,Expense",Ricardo Pereira,USEDPLASTICPALLETSCOM,TRUE,USEDPLASTICPALLETSCOM,PO BOX 406,,Dunlap,CA,93621-9998,United States
1436,"Supplier,Expense",,UPPER VALLEY DISPOSAL SERVICES,TRUE,UPPER VALLEY DISPOSAL SERVICES,PO Box 382,1285 Whitehall Ln.,St Helena,CA,94574-9682,United States
1435,Customer,,SERYMAN PLASTICS,TRUE,SERYMAN PLASTICS,2324 Paulson Road,,Turlock,CA,95380-9757,United States
2220,"Supplier,Expense",Igor Beylin,NORTECH WASTE LLC,TRUE,NORTECH WASTE LLC,3033 Fiddyment Road,,Roseville,CA,95747-9705,United States
1470,"Customer,Expense",,DUPUY CONSULTANTS,TRUE,DUPUY CONSULTANTS,5144 S. Liverpool Way,,Centennial,CO,80015,United States
2232,"Customer,Supplier,Expense",,AMP ROBOTICS CORP,TRUE,AMP ROBOTICS CORP,1875 Taylor Ave.,,Louisville,CO,80027,United States
1636,"Customer,Supplier,Expense",,DIRECT POLYMERS LLC,TRUE,DIRECT POLYMERS LLC,12015 Blackwell Way,,Parker,CO,80138,United States
2615,"Customer,Expense",Arthur Buyanovskiy,DIRECT RESINS LLC,TRUE,DIRECT RESINS LLC,3600 E 45th Ave,,Denver,CO,80216,United States
1939,"Supplier,Expense",Igor Beylin,CENTENNIAL CONTAINER,TRUE,CENTENNIAL CONTAINER,13105 East 38th Avenue Unit 58,,Denver,CO,80239,United States
1444,"Supplier,Expense",,WASTE-NOT RECYCLING,TRUE,WASTE-NOT RECYCLING,1065 Poplar Street,,Loveland,CO,80534,United States
1566,"Supplier,Expense",,ANGEL OF SHAVANO RECYCLING LLC,TRUE,ANGEL OF SHAVANO RECYCLING LLC,PO Box 69,,Poncha Springs,CO,81242,United States
1611,Expense,,FIRST STAR LOGISTICS LLC,TRUE,FIRST STAR LOGISTICS LLC,PO Box 912394,,Denver,CO,80291-2394,United States
2233,"Supplier,Expense",Igor Beylin,GUNNISON RECYCLING,TRUE,GUNNISON RECYCLING,195 Basin Park Dr,,Gunnison,CO,81230-9519,United States
2634,"Supplier,Expense",Ricardo Pereira,RUG PAD USA,TRUE,RUG PAD USA,100 Marketing Drive,,Suffield,CT,6078,United States
2482,"Customer,Supplier,Expense",Igor Beylin,AOWR,TRUE,AOWR,477 Connecticut Blvd Suite 203,,East Hartford,CT,6108,United States
1940,"Supplier,Expense",Ricardo Pereira,REVERSE RECYCLING,TRUE,REVERSE RECYCLING,74 Spring Street,,Southington,CT,6489,United States
2180,"Supplier,Expense",Arthur Buyanovskiy,SOUTHERN CONN PALLET CO,TRUE,SOUTHERN CONN PALLET CO,346 Quinnipiac Street,,Wallingford,CT,6492,United States
1338,Supplier,Ricardo Pereira,CLINTON NURSERIES INC,TRUE,CLINTON NURSERIES INC,517 POND MEADOW ROAD,BOX 679,Westbrook,CT,6498,United States
1854,"Supplier,Expense",Ricardo Pereira,MARCUS PAPER COMPANY,TRUE,MARCUS PAPER COMPANY,PO Box 8986,,New Haven,CT,6532,United States
1643,"Customer,Expense",Ricardo Pereira,SEAVIEW PLASTIC RECYCLING INC,TRUE,SEAVIEW PLASTIC RECYCLING INC,938 Crescent Avenue,,Bridgeport,CT,6607,United States
1594,"Supplier,Expense",Ricardo Pereira,ALBERT BROS INC,TRUE,ALBERT BROS INC,225 East Aurora St,,Waterbury,CT,6721,United States
2537,"Supplier,Expense",Igor Beylin,FREEPOINT ECO-SYSTEMS SUPPLY & TRADING,TRUE,FREEPOINT ECO-SYSTEMS SUPPLY & TRADING,58 Commerce Rd,,Stamford,CT,6902,United States
2510,"Supplier,Expense",Ricardo Pereira,ALL PALLET RECYCLING LLC,TRUE,ALL PALLET RECYCLING LLC,60 Belamos Ave,P.O. Box 290677,Wethersfield,CT,,United States
1890,"Supplier,Expense",Ricardo Pereira,FAIRFIELD PROCESSING CORPORATION,TRUE,FAIRFIELD PROCESSING CORPORATION,PO Box 1157,,Danbury,CT,06813-1157,United States
2610,"Customer,Supplier,Expense",Lindsey Malyavko,GREENWOOD PALLET COMPANY,TRUE,GREENWOOD PALLET COMPANY,16849 Road Runner Dr,,Bridgeville,DE,19933,United States
2327,"Supplier,Expense",Igor Beylin,FLORIDA PLASTIC RECYCLING,TRUE,FLORIDA PLASTIC RECYCLING,5220 New Kings Road,,Jacksonville,FL,32209,United States
1907,"Customer,Supplier,Expense",,KELCO RECYCLING INC,TRUE,KELCO RECYCLING INC,6005 Powers Ave.,,Jacksonville,FL,32217,United States
2614,Expense,,TRAILER LEASING COMPANY,TRUE,TRAILER LEASING COMPANY,2733 Pickettville Rd,,Jacksonville,FL,32220,United States
1971,"Supplier,Expense",Lindsey Malyavko,PALKING INC,TRUE,PALKING INC,PO Box 442264,,Jacksonville,FL,32222,United States
2526,"Supplier,Expense",Lindsey Malyavko,B LINE SERVICES,TRUE,B LINE SERVICES,4997 Damascus Church Road,,Graceville,FL,32440,United States
2254,"Supplier,Expense",Lindsey Malyavko,SONCO WASTE SOLUTIONS LLC,TRUE,SONCO WASTE SOLUTIONS LLC,4997 Damascus Church Road,,Graceville,FL,32440,United States
1835,"Supplier,Expense",Igor Beylin,FEDERAL CORRECTIONAL INSTITUTION,TRUE,FEDERAL CORRECTIONAL INSTITUTION,"3625 F C I Rd, Marianna, FL 32446",,Marianna,FL,32446,United States
2495,"Customer,Expense",,MAUSER PACKAGING SOLUTIONS,TRUE,MAUSER PACKAGING SOLUTIONS,PO Box 278,,Zellwood,FL,32798,United States
2471,"Supplier,Expense",Igor Beylin,ORLANDO RECYCLING,TRUE,ORLANDO RECYCLING,5303 N Orange Blossom Trail,,Orlando,FL,32810,United States
1744,"Customer,Expense",,POLYPRO INDUSTRIAL RECYCLING,TRUE,POLYPRO INDUSTRIAL RECYCLING,4880 Hoffner Ave.,,Orlando,FL,32812,United States
2334,"Customer,Supplier,Expense",,360RESINS LLC,TRUE,360RESINS LLC,166 CENTER STREET,,CAPE CANAVERAL,FL,32920,United States
2487,"Supplier,Expense",Lindsey Malyavko,THE CHEFS WAREHOUSE,TRUE,THE CHEFS WAREHOUSE,5559 NW 145th St,,Opa Locka,FL,33054,United States
2454,"Customer,Expense",Arthur Buyanovskiy,GENESIS RECYCLING LLC,TRUE,GENESIS RECYCLING LLC,11219 N Kendall Dr,,Miami,FL,33176,United States
2100,Supplier,Tiffany White,STORELLI RECYCLING,TRUE,STORELLI RECYCLING,"2455 East Sunrise Blvd, Suite 204",,Fort Lauderdale,FL,33304,United States
1792,"Supplier,Expense",Igor Beylin,SOLID WASTE AUTHORITY,TRUE,SOLID WASTE AUTHORITY,5860 45th Street,,West Palm Beach,FL,33407,United States
2578,"Customer,Supplier,Expense",,GULFSTREAM SERVICES,TRUE,GULFSTREAM SERVICES,950 Peninsula Corporate Circle,Suite 3025,Boca Raton,FL,33487,United States
1778,"Customer,Supplier,Expense",,PREMIER GROUP RECYCLING INC,TRUE,PREMIER GROUP RECYCLING INC,6971 N Federal Highway,,Boca Raton,FL,33487,United States
1578,"Customer,Supplier,Expense",,REPCO SERVICES LLC,TRUE,REPCO SERVICES LLC,7491 N. FEDERAL HWY,SUITE C5 #313,Boca Raton,FL,33487,United States
2329,"Customer,Supplier,Expense",Igor Beylin,CW CARRIERS USA,TRUE,CW CARRIERS USA,PO Box 424,,Lithia,FL,33547,United States
2152,"Supplier,Expense",,TOTAL RECYCLING & WASTE SOLUTIONS,TRUE,TOTAL RECYCLING & WASTE SOLUTIONS,5226 E Hillsborough Avenue,,Tampa,FL,33619,United States
1974,"Customer,Supplier,Expense",,ADVANCED IMPACT TECHNOLOGIES INC,TRUE,ADVANCED IMPACT TECHNOLOGIES INC,2310 Starkey Rd,,Largo,FL,33771,United States
2551,Expense,,EXXACT EXPRESS,TRUE,EXXACT EXPRESS,1025 N. Chestnut Rd,,Lakeland,FL,33805,United States
2115,"Customer,Supplier",,SUNCOAST PLASTICS,TRUE,SUNCOAST PLASTICS,619 Tulip Circle W,,Auburndale,FL,33823,United States
2251,"Supplier,Expense",Lindsey Malyavko,PALLET CONSULTANTS,TRUE,PALLET CONSULTANTS,1555 Melbourne Ave,,Haines City,FL,33844,United States
1459,"Supplier,Expense",,US RECYCLING GROUP,TRUE,US RECYCLING GROUP,3508 Tumbling River Dr,,Clermont,FL,34711,United States
2013,"Customer,Supplier",Igor Beylin,ROBERT WALLICK ASSOCIATES LLC,TRUE,ROBERT WALLICK ASSOCIATES LLC,531 Susan B Britt Ct,,Winter Garden,FL,34787,United States
2259,"Supplier,Expense",Ricardo Pereira,ST LUCIE COUNTY,TRUE,ST LUCIE COUNTY,6120 Glades Cut Off Rd,,Fort Pierce,FL,34981,United States
1712,"Customer,Supplier,Expense",,US PLASTICS RECOVERY,TRUE,US PLASTICS RECOVERY,900 Raco Drive,Suite B,Lawrenceville,GA,30046,United States
2557,"Supplier,Expense",Arthur Akopyan,AMERICAN FIBER SERVICES LLC,TRUE,AMERICAN FIBER SERVICES LLC,2400 Lake Park Drive,Suite 425,Smyrna,GA,30080,United States
2554,"Customer,Supplier,Expense",Igor Beylin,WINMATE COMMUNICATION US INC,TRUE,WINMATE COMMUNICATION US INC,2640 Mathews Street,,Smyrna,GA,30080,United States
2168,"Supplier,Expense",Lindsey Malyavko,APS RECYCLE INC,TRUE,APS RECYCLE INC,2782 Caraway Dr,,Tucker,GA,30084,United States
2105,"Customer,Supplier,Expense",,PLUS MATERIALS INC,TRUE,PLUS MATERIALS INC,3100 Breckinridge Blvd,Suite 175,Duluth,GA,30096,United States
2263,"Supplier,Expense",Lindsey Malyavko,BO'S PALLETS,TRUE,BO'S PALLETS,2427 GA-140,,Adairsville,GA,30103,United States
1192,Supplier,Ricardo Pereira,ADVANCED DISPOSAL,TRUE,ADVANCED DISPOSAL,8880 Old Federal Rd,,Ball Ground,GA,30107,United States
2138,"Supplier,Expense",Lindsey Malyavko,ADVANCE DRUM SERVICE INC,TRUE,ADVANCE DRUM SERVICE INC,1835 Dickerson Drive,,Mableton,GA,30126,United States
2457,"Supplier,Expense",Igor Beylin,KNAPP INC,TRUE,KNAPP INC,2124 Barrett Park Dr. Ste. 100,,Kennesaw,GA,30144,United States
2006,Customer,,MARGLEN INDUSTRIES,TRUE,MARGLEN INDUSTRIES,1748 Ward Mountain Rd NE,,Rome,GA,30161,United States
2415,"Supplier,Expense",,PAPER RECOVERY OF GEORGIA,TRUE,PAPER RECOVERY OF GEORGIA,501 East 6th Street SW,,"Rome,",GA,30161,United States
2078,Supplier,,CHAMBERS DRUM CO INC,TRUE,CHAMBERS DRUM CO INC,PO BOX 1010,,Fairburn,GA,30213,United States
1597,Expense,,PINE RIDGE LANDFILL,TRUE,PINE RIDGE LANDFILL,105 Bailey Jester Road,,Griffin,GA,30224,United States
1868,"Supplier,Expense",Igor Beylin,GREENSOUTH RECYCLING,TRUE,GREENSOUTH RECYCLING,1698 GA-42 N,,Jackson,GA,30233,United States
2561,"Customer,Supplier,Expense",,SILON US LLC,TRUE,SILON US LLC,101 Sierra Drive,,Peachtree City,GA,30269,United States
2411,"Supplier,Expense",Igor Beylin,J&M MECHANICAL SERVICES,TRUE,J&M MECHANICAL SERVICES,PO BOX 2543,,Forest Park,GA,30298,United States
2011,Supplier,Lindsey Malyavko,PALLET CONSULTANTS OF ATLANTA,TRUE,PALLET CONSULTANTS OF ATLANTA,2555 Moreland Ave. SE,,Atlanta,GA,30315,United States
1109,Customer,,ENPOL,TRUE,ENPOL,1418 Dresden Dr.,Suite 200,Atlanta,GA,30319,United States
1807,"Supplier,Expense",Igor Beylin,PALLET CENTRAL ENTERPRISES INC,TRUE,PALLET CENTRAL ENTERPRISES INC,PO Box 13549,,Atlanta,GA,30324,United States
1582,"Customer,Expense",,GREENMINE INC,TRUE,GREENMINE INC,4785 Fulton Industrial Blvd SW,Suite B,Atlanta,GA,30336,United States
2191,"Customer,Supplier,Expense",,NEXUS FUELS LLC,TRUE,NEXUS FUELS LLC,500 Waterfront Dr. SW,,Atlanta,GA,30336,United States
2284,"Supplier,Expense",Igor Beylin,JFC INTERNATIONAL,TRUE,JFC INTERNATIONAL,3101 McCall Drive,Suite 3,Doraville,GA,30340,United States
1959,Expense,,MIDDLE BAY TRANSPORTATION,TRUE,MIDDLE BAY TRANSPORTATION,P.O. BOX 745020,,ATLANTA,GA,30374,United States
1713,"Supplier,Expense",Mack McMurray,WESTROCK CP LLC,TRUE,WESTROCK CP LLC,PO Box 409813,,Atlanta,GA,30384,United States
2550,"Supplier,Expense",Igor Beylin,LANIER PALLET RECYCLING INC,TRUE,LANIER PALLET RECYCLING INC,2410 Highway 334,,Commerce,GA,30530,United States
2020,"Customer,Expense",,KAL POLYMERS AMERICA LLC,TRUE,KAL POLYMERS AMERICA LLC,4350 Avery Drive,Suite 102,Flowery Branch,GA,30542,United States
2404,"Supplier,Expense",Mack McMurray,LOFTY'S TEXTILE WASTE INC,TRUE,LOFTY'S TEXTILE WASTE INC,4148 Cleveland Highway,,Cohutta,GA,30710,United States
2210,"Supplier,Expense",Igor Beylin,IMACC CORP,TRUE,IMACC CORP,2303 Dalton Industrial Court,,Dalton,GA,30721,United States
1720,"Customer,Expense",,COLUMBIA RECYCLING CORPORATION,TRUE,COLUMBIA RECYCLING CORPORATION,P. O. BOX 2101,,DALTON,GA,30722,United States
2484,"Supplier,Expense",Tiffany White,WILSON WASTE CO,TRUE,WILSON WASTE CO,1321 Dry Valley Rd,,Rossville,GA,30741,United States
2486,"Supplier,Expense",Tiffany White,PALLET-TECH SOLUTIONS,TRUE,PALLET-TECH SOLUTIONS,PO Box 2246,,Fort Oglethorpe,GA,30742,United States
1550,Expense,,NOLAN TRANSPORT GROUP INC,TRUE,NOLAN TRANSPORT GROUP INC,P.O. Box 931184,,Atlanta,GA,31193,United States
2491,Customer,Igor Beylin,SD POLYMERS LLC,TRUE,SD POLYMERS LLC,600 Guy Paine Rd,Warehouse 5C,Macon,GA,31206,United States
2431,"Supplier,Expense",Arthur Buyanovskiy,ROBERTS ENTERPRISES,TRUE,ROBERTS ENTERPRISES,144 Lee Drive,,Ellabell,GA,31308,United States
2146,"Supplier,Expense",Igor Beylin,FORT STEWART ARMY BASE,TRUE,FORT STEWART ARMY BASE,1550 Veterans Parkway,Building 1137,Fort Stewart,GA,31313,United States
1842,"Supplier,Expense",,FT STEWART ARMY BASE,TRUE,FT STEWART ARMY BASE,1042 William H Wilson Ave,Bldg 622,Fort Stewart,GA,31314,United States
2504,"Customer,Supplier,Expense",Igor Beylin,SNF HOLDING COMPANY,TRUE,SNF HOLDING COMPANY,1 Chemical Plant Road,,Riceboro,GA,31323,United States
1930,"Customer,Supplier,Expense",Igor Beylin,SAVANNAH PALLETS,TRUE,SAVANNAH PALLETS,1610 Staley Ave,,Savannah,GA,31405,United States
2338,"Supplier,Expense",Tiffany White,COMPLETE RESOURCE MANAGEMENT,TRUE,COMPLETE RESOURCE MANAGEMENT,1701 N Washington St,,Albany,GA,31701,United States
1989,Supplier,Igor Beylin,C & J PALLET CO,TRUE,C & J PALLET CO,107 Swett Ave,,Americus,GA,31709,United States
1666,"Supplier,Expense",Igor Beylin,GEORGIA SEED DEVELOPMENT,TRUE,GEORGIA SEED DEVELOPMENT,1547 US Highway 280 West,,Plains,GA,31780,United States
1544,Customer,,GP HARMON RECYCLING,TRUE,GP HARMON RECYCLING,PO Box 125,,Cedar Springs,GA,39832,United States
2354,"Customer,Supplier",Arthur Buyanovskiy,4TH GENERATION RECYCLING,TRUE,4TH GENERATION RECYCLING,P.O. Box 117165,,Atlanta,GA,30368-7165,United States
2240,"Customer,Supplier,Expense",,GEORGIA PACIFIC RECYCLING,TRUE,GEORGIA PACIFIC RECYCLING,P.O. Box 281570,,Atlanta,GA,30384-1570,United States
1257,"Customer,Supplier",Arthur Buyanovskiy,PRATT INDUSTRIES,TRUE,PRATT INDUSTRIES,PO BOX 933949,,Atlanta,GA,31193-3949,United States
1848,"Customer,Supplier,Expense",,SIGMA RECYCLING INC,TRUE,SIGMA RECYCLING INC,5675 JIMMY CARTER BLVD,SUITE 598,NORCROSS,GA,GA,United States
2571,"Supplier,Expense",Arthur Buyanovskiy,HAPPE HOMES,TRUE,HAPPE HOMES,2575 N Ankeny Blvd,Suite 211,Ankeny,IA,50023,United States
1830,Expense,,EXPRESS LOGISTICS INC,TRUE,EXPRESS LOGISTICS INC,PO Box 628,,Waukee,IA,50263,United States
2301,"Customer,Supplier,Expense",Lindsey Malyavko,METRO WASTE AUTHORITY,TRUE,METRO WASTE AUTHORITY,PO BOX 4847,,DES MOINES,IA,50305,United States
1564,"Supplier,Expense",,MID AMERICA RECYCLING,TRUE,MID AMERICA RECYCLING,2742 East Market Street,,Des Moines,IA,50317,United States
2433,"Supplier,Expense",,DEN HARTOG INDUSTRIES,TRUE,DEN HARTOG INDUSTRIES,PO Box 425,,Hospers,IA,51238,United States
1410,Supplier,,NORTH CEDAR SOUTH LLC,TRUE,NORTH CEDAR SOUTH LLC,"3752 SAC DRIVE, BLDG. H",,KEOKUK,IA,52632,United States
1383,Supplier,Arthur Buyanovskiy,CEDAR POLY LLC,TRUE,CEDAR POLY LLC,200 Commerce Blvd,,Tipton,IA,52772,United States
2186,"Supplier,Expense",Lindsey Malyavko,WASTE COMMISSION OF SCOTT COUNTY,TRUE,WASTE COMMISSION OF SCOTT COUNTY,11555 110th Ave,,Davenport,IA,52804,United States
1398,Supplier,,GROOT WASTE,TRUE,GROOT WASTE,2500 Landmeier Road,,Elk Grove Village,IL,60007,United States
1896,"Customer,Supplier,Expense",,ADAMS PLASTICS,TRUE,ADAMS PLASTICS,1125 Carnegie St,,Rolling Meadows,IL,60008,United States
1627,"Supplier,Expense",,GROOT INDUSTRIES INC,TRUE,GROOT INDUSTRIES INC,ELK GROVE TRANSFER STATION,PO BOX 894,ELK GROVE VILLAGE,IL,60009,United States
1290,"Customer,Supplier,Expense",,BRIAN POLLACK,TRUE,BRIAN POLLACK,8718 Ackman Rd,,Crystal Lake,IL,60014,United States
1775,"Customer,Supplier,Expense",,STERICYCLE,TRUE,STERICYCLE,2355 Waukegan Road,,Bannockburn,IL,60015,United States
2437,"Supplier,Expense",Igor Beylin,SEEDBOX SOLUTION,TRUE,SEEDBOX SOLUTION,1761 N Dilleys Rd,Ste 107,Gurnee,IL,60031,United States
2607,"Supplier,Expense",Arthur Buyanovskiy,GREEN DIVERSION RECYCLING LLC,TRUE,GREEN DIVERSION RECYCLING LLC,PO Box 718,,Highwood,IL,60040,United States
1630,"Customer,Supplier,Expense",,IRP LOGISTICS LLC,TRUE,IRP LOGISTICS LLC,PO Box 718,,Highwood,IL,60040,United States
1997,"Customer,Expense",Tiffany White,GLOBAL POLYMER NETWORK LLC,TRUE,GLOBAL POLYMER NETWORK LLC,1405 Braxton Rd,,Libertyville,IL,60048,United States
1296,Supplier,Arthur Buyanovskiy,GLOBAL RESOURCES,TRUE,GLOBAL RESOURCES,1324 Kempton Drive,,Libertyville,IL,60048,United States
1772,"Customer,Supplier,Expense",Ricardo Pereira,IGPS LOGISTICS LLC,TRUE,IGPS LOGISTICS LLC,DEPT CH 17022,,Palatine,IL,60055,United States
2521,"Supplier,Expense",Arthur Buyanovskiy,ABBOTT,TRUE,ABBOTT,100 Abbott Park Rd,,Abbott Park,IL,60064,United States
2474,"Supplier,Expense",Igor Beylin,INLAND DIE CASTING,TRUE,INLAND DIE CASTING,161 Carpenter Ave,,Wheeling,IL,60090,United States
2481,"Customer,Expense",,NORTHSTAR TRADING,TRUE,NORTHSTAR TRADING,3380 GRAND AVE,,WAUKEGAN,IL,60090,United States
1913,Supplier,Tiffany White,CALCO PALLETS INC,TRUE,CALCO PALLETS INC,PO Box 1922,,Woodstock,IL,60098,United States
1612,"Customer,Supplier,Expense",,NEWCO FIBERS INC,TRUE,NEWCO FIBERS INC,226 W Judd St.,,Woodstock,IL,60098,United States
1798,"Supplier,Expense",Igor Beylin,PRIME WOODCRAFT,TRUE,PRIME WOODCRAFT,1817 Kenosha Rd,,Zion,IL,60099,United States
1385,Supplier,Lindsey Malyavko,COMBINED RESOURCES,TRUE,COMBINED RESOURCES,1750 West Fullerton Ave,,Addison,IL,60101,United States
2266,"Supplier,Expense",Lindsey Malyavko,THE CARY COMPANY,TRUE,THE CARY COMPANY,1195 W Fullerton Ave,,Addison,IL,60101,United States
2274,"Supplier,Expense",,HEATH INDUSTRIAL,TRUE,HEATH INDUSTRIAL,3551 Lakeview Drive,,Algonquin,IL,60102,United States
1414,"Supplier,Expense",Igor Beylin,PRI GROUP LLC,TRUE,PRI GROUP LLC,600 Thomas Drive,,Bensenville,IL,60106,United States
2522,"Customer,Supplier,Expense",,PREMIER MATERIAL SOLUTIONS,TRUE,PREMIER MATERIAL SOLUTIONS,1415 Davis Road,,Elgin,IL,60123,United States
2506,"Supplier,Expense",Igor Beylin,JABIL,TRUE,JABIL,6325 Muirfield Drive,,Hanover Park,IL,60133,United States
1424,"Customer,Supplier,Expense",,VIM RECYCLERS LLP,TRUE,VIM RECYCLERS LLP,PO Box 755,,Genl Ellyn,IL,60138,United States
1300,Supplier,Arthur Buyanovskiy,JIM RIFF,TRUE,JIM RIFF,1662 Sandcastle Ln.,,Pingree Grove,IL,60140,United States
1624,Supplier,Ricardo Pereira,PINNACLE RECYCLING LLC,TRUE,PINNACLE RECYCLING LLC,PO Box 309,,Itasca,IL,60143,United States
2092,"Customer,Supplier,Expense",Arthur Buyanovskiy,MITSUBISHI LOGISNEXT AMERICAS,TRUE,MITSUBISHI LOGISNEXT AMERICAS,240 N Prospect St,,Marengo,IL,60152,United States
1945,"Supplier,Expense",Arthur Buyanovskiy,ADVANCE PALLET INC,TRUE,ADVANCE PALLET INC,600 Woodbury Street,,South Elgin,IL,60177,United States
2632,Expense,,COVAR TRANSPORTATION,TRUE,COVAR TRANSPORTATION,1600 S. Prairie Dr,,Sycamore,IL,60178,United States
1933,"Customer,Expense",,CLOVER PLASTICS LLC,TRUE,CLOVER PLASTICS LLC,1145 Howard Dr.,,West Chicago,IL,60185,United States
2033,Expense,,TRANSEND LOGISTICS,TRUE,TRANSEND LOGISTICS,PO BOX 6232,,CAROL STREAM,IL,60197,United States
2015,Supplier,,RAM - RECOVERED ASSET MANAGEMENT,TRUE,RAM - RECOVERED ASSET MANAGEMENT,16400 S. Lathrop,,Harvey,IL,60426,United States
1886,"Supplier,Expense",Tiffany White,KALUZNY BROTHERS,TRUE,KALUZNY BROTHERS,2324 Mound Rd,,Joliet,IL,60436,United States
1697,"Customer,Supplier,Expense",,MRC POLYMERS,TRUE,MRC POLYMERS,901 W Crossroads Pkwy,,Romeoville,IL,60446,United States
2034,Expense,,HIGH SPEED TRIPLE T TRUCKING LCC,TRUE,HIGH SPEED TRIPLE T TRUCKING LCC,7932 Normandy Ave,,Burbank,IL,60459,United States
1170,Expense,,PRIDE LOGISTICS LLC,TRUE,PRIDE LOGISTICS LLC,11800 South 75th Avenue,Suite 2W,Palos Heights,IL,60463,United States
1665,"Supplier,Expense",Arthur Buyanovskiy,FIBRE DRUM SALES INC,TRUE,FIBRE DRUM SALES INC,2414 West 139th Place,,Posen,IL,60469,United States
2538,Customer,,INDUSTRIAL PLASTIC RECYCLING INC,TRUE,INDUSTRIAL PLASTIC RECYCLING INC,525 W. 169th Street,,South Holland,IL,60473,United States
2455,"Supplier,Expense",,WINCO PLASTICS,TRUE,WINCO PLASTICS,149 S Grant St,,North Aurora,IL,60542,United States
1567,"Customer,Supplier,Expense",,GERALD STRUVE,TRUE,GERALD STRUVE,225 Willington Way,,Oswego,IL,60543,United States
1859,"Supplier,Expense",,MENARDS DISTRIBUTION CENTER,TRUE,MENARDS DISTRIBUTION CENTER,2623 Eldamain Rd,,Plano,IL,60545,United States
2386,"Supplier,Expense",,GRAPHIC PALLET & TRANSPORT INC,TRUE,GRAPHIC PALLET & TRANSPORT INC,10225 Bode St,,Plainfield,IL,60585,United States
2465,"Customer,Supplier,Expense",Igor Beylin,LOOP PAPER RECYCLING INC,TRUE,LOOP PAPER RECYCLING INC,2401 S Laflin St,,Chicago,IL,60608,United States
1689,"Supplier,Expense",Igor Beylin,RECYCLING SERVICES OF FLORIDA INC,TRUE,RECYCLING SERVICES OF FLORIDA INC,2401 South Laflin Street,,Chicago,IL,60608,United States
1928,"Supplier,Expense",Tiffany White,AA PALLET INC,TRUE,AA PALLET INC,900 W. 49th place,,Chicago,IL,60609,United States
1056,Expense,,JEI WAREHOUSE,TRUE,JEI WAREHOUSE,2200 W 43rd St.,,Chicago,IL,60609,United States
1903,"Customer,Expense",,DONCO PAPER SUPPLY COMPANY,TRUE,DONCO PAPER SUPPLY COMPANY,737 N Michigan Ave,Suite 1450,Chicago,IL,60611,United States
2213,"Supplier,Expense",Tiffany White,UNIVERSAL SCRAP METALS INC,TRUE,UNIVERSAL SCRAP METALS INC,2500 W Fulton St,,Chicago,IL,60612,United States
1595,"Customer,Supplier,Expense",,ANTEK MADISON PLASTICS USA LTD,TRUE,ANTEK MADISON PLASTICS USA LTD,8822 S. Dobson Ave,,Chicago,IL,60619,United States
2085,"Supplier,Expense",Lindsey Malyavko,GREENWAY RESOURCE RECOVERY LLC,TRUE,GREENWAY RESOURCE RECOVERY LLC,2100 S. Kilbourn Ave.,,Chicago,IL,60623,United States
2042,Supplier,Tiffany White,MID AMERICA PAPER RECYCLING,TRUE,MID AMERICA PAPER RECYCLING,3865 W. 41st Street,,Chicago,IL,60632,United States
1738,"Supplier,Expense",Tiffany White,STARLUX CORP,TRUE,STARLUX CORP,3800 W 42nd S,,Chicago,IL,60632,United States
