ref,role,user_id,alias,name-check (internal),name,street,street2,city,state_id,zip,country
1642,Expense,,REDWOOD MULTIMODAL,FALSE,TRANSPORTATION SOLUTIONS GROUP LLC,32433 Collections Center Drive,,Chicago,IL,60693,United States
2055,"Customer,Supplier,Expense",Igor Beylin,MAUSER PACKAGING - CLEVELAND,FALSE,MAUSER PACKAGING,P.O. Box 7410054,,CHICAGO,IL,60674-0185,United States
2241,"Supplier,Expense",,MAUSER PACKAGING - LOUISVILLE,FALSE,MAUSER PACKAGING,P.O. Box 7410054,,CHICAGO,IL,60674-0185,United States
1093,Expense,,RECYCLEFORCE WAREHOUSE,FALSE,RECYCLEFORCE,"1125 Brookside Ave, Suite D12",,Indianapolis,IN,46202,United States
2572,Expense,Arthur Buyanovskiy,JEI CLARKSVILLE WAREHOUSE,FALSE,JEI INC,560 Eastern Blvd,,Clarksville,IN,47129,United States
2215,"Supplier,Expense",Igor Beylin,MAUSER PACKAGING - BRIGHTON,FALSE,MAUSER PACKAGING,PO Box 7410054,,CHICAGO,IN,60674-0185,United States
1771,"Supplier,Expense",Arthur Akopyan,FORT KNOX QRP,FALSE,US TREASURY DEPT - FORT KNOX QRP,309 Frazier Road,Bldg 2962,Fort Knox,KY,40121,United States
2359,"Supplier,Expense",Mack McMurray,LEXINGTON MUNICIPAL RECYCLING,FALSE,LEXINGTON-FAYETTE URBAN COUNTY GOVERNMENT,ATTENTION: RECYCLING REVENUE,200 EAST MAIN STREET,Lexington,KY,40507,United States
1950,Expense,,UNICOR,FALSE,UNICOR FEDERAL PRISON INDUSTRIES INC,3301 Leestown Road,,Lexington,KY,40511,United States
1502,Expense,,EVANS DELIVERY - WEST CONTRACT,FALSE,EVANS DELIVERY,PO Box 62892,,Baltimore,MD,21264,United States
1628,"Customer,Supplier,Expense",,NORTH COUNTRY MATERIAL SALES,FALSE,NCM SALES INC,11101 Four Seasons Avenue NE,,Rockford,MI,49341,United States
2621,"Supplier,Expense",Igor Beylin,LG ENERGY SOLUTION,FALSE,LG ENERGY SOLUTION MICHIGAN INC,1 LG Way,,Holland,MI,49423,United States
2367,"Supplier,Expense",,KAMPS TWIN LLC,FALSE,DBA TWIN CITY PALLET,12181 Margo Ave S,,Hastings,MN,55033,United States
2520,"Customer,Supplier,Expense",Igor Beylin,KAMPS HUGO,FALSE,KAMPS PALLETS,13285 Fenway Blvd N,,Hugo,MN,55038,United States
2331,Expense,,GREENVIEW WASHINGTON WAREHOUSE,FALSE,GREENVIEW MATERIALS INC,3 Southlink Drive,,Washington,MO,63090,United States
2593,"Customer,Expense",,TLC WORLDWIDE LOGISTICS HOLLY SPRINGS,FALSE,TLC WORLDWIDE LOGISTICS,550 S Industrial Park Rd,,Holly Springs,MS,38635,United States
1136,"Customer,Supplier,Expense",,INTERNATIONAL ALLOY,FALSE,INTERNATIONAL ALLOY-V,8801 Thornbury Place,,Waxhaw,NC,28173,United States
1601,"Customer,Supplier,Expense",,TFC RECYCLING,FALSE,TIDEWATER FIBRE CORP,PO Box 890336,,Charlotte,NC,28289,United States
1600,"Customer,Supplier,Expense",,ENVISION ECOPLAST GROUP,FALSE,CONSOLIDATED CONTAINER COMPANY LP,10861 Mill Valley Road,,Omaha,NE,68154,United States
1789,"Supplier,Expense",Ricardo Pereira,GORGO PALLET,FALSE,LT CHINI INC,646 S Delsea Drive,,Vineland,NJ,8360,United States
1563,"Supplier,Expense",Arthur Akopyan,HUDSON BAYLOR BROOKHAVEN,FALSE,HUDSON BAYLOR BROOKHAVEN LLC,352 Horseblock Road,,Brookhaven,NY,11719,United States
1639,Supplier,Ricardo Pereira,WASTE CONNECTIONS (Albany),FALSE,WASTE CONNECTIONS,865 South Pearl Street,,Albany,NY,12202,United States
1572,Expense,,KELLER FREIGHT SOLUTIONS,FALSE,KELLER LOGISTICS LLC,24862 Elliott Road,,Defiance,OH,43512,United States
2637,"Supplier,Expense",Igor Beylin,SA RECYCLING - IB,FALSE,SA RECYCLING,701 W. Hopocan Ave,,Barberton,OH,44203,United States
2349,"Supplier,Expense",Tiffany White,SUMMIT POLYMERSLLC,FALSE,SUMMIT POLYMERS LLC,107 N Hine St,,Youngstown,OH,44506,United States
2188,"Supplier,Expense",Lindsey Malyavko,DONLEY PALLET,FALSE,DAN DONLEY,2103 Laurel Lindale Road,,New Richmond,OH,45157,United States
2344,"Supplier,Expense",,REMM GROUP,FALSE,RECYCLABLE MATERIALS MARKETING,217 Terrace Hill Street,Suite B10,Brantford,ON,N3R 1G8,United States
1645,"Customer,Supplier,Expense",Ricardo Pereira,CORESTATES RECYCLING,FALSE,CORESTATES PROCESSING AND RECYCLING LLC,9 Stauffer Industrial Park,,Taylor,PA,18517,United States
1764,"Supplier,Expense",Ricardo Pereira,RAMS RECYCLING AND CONTAINER SERVICES INC,FALSE,RUSSELL A MORELLO & SONS INC,18 Maple Street,,Conshohocken,PA,19428,United States
2545,Expense,,DC TRUCKING,FALSE,D&C BROKERAGE LLC,729 Great Falls Hwy,,Chester,SC,29706,United States
1621,"Supplier,Expense",Arthur Akopyan,PFG CDC PERFORMANCE FOOD GROUP  LEBANON,FALSE,PFG CDC PERFORMANCE FOOD GROUP,825 Maddox Simpson,,LEBANON,TN,37090,United States
2164,"Supplier,Expense",,MACON COUNTY SOLID WASTE - TN,FALSE,MACON COUNTY SOLID WASTE,1319 Heady Ridge Road,,Red Boiling Springs,TN,37150,United States
321,"Customer,Supplier,Expense",,RECYCLE SOLUTIONS WAREHOUSE,FALSE,RECYCLE SOLUTIONS,1054 KANSAS STREET,,MEMPHIS,TN,38106,United States
2460,"Customer,Expense",,LI RISING LLC,FALSE,DBA RE-TECK,902 Avenue T,Suite 100,Grand Prairie,TX,75050,United States
2464,"Supplier,Expense",Arthur Buyanovskiy,RE-TECK,FALSE,LI RISING LLC,902 Avenue T,Suite 100,Grand Prairie,TX,75050,United States
2639,Expense,Arthur Buyanovskiy,JEI ENNIS WAREHOUSE,FALSE,JEI INC,2501 Brombeck St,,Ennis,TX,75119,United States
2428,Expense,Arthur Buyanovskiy,JEI DALLAS WAREHOUSE,FALSE,JEI INC,4553 Leston St,,DALLAS,TX,75247,United States
1688,"Supplier,Expense",Ricardo Pereira,REPUBLIC SERVICES - JAX,FALSE,REPUBLIC SERVICES INC,REPUBLIC SVS RECYCLING CTR -3611,PO BOX 677839,Dallas,TX,75267-7839,United States
1680,"Customer,Supplier,Expense",Arthur Akopyan,48 FORTY SOLUTIONS - AA,FALSE,48 FORTY SOLUTIONS LLC,PO Box 849729,,Dallas,TX,75284-9729,United States
1802,"Customer,Supplier,Expense",Igor Beylin,48 FORTY SOLUTIONS - IB,FALSE,48 FORTY SOLUTIONS LLC,PO Box 849729,,Dallas,TX,75284-9729,United States
2248,"Customer,Supplier,Expense",Lindsey Malyavko,48 FORTY SOLUTIONS - LM,FALSE,48 FORTY SOLUTIONS LLC,PO Box 849729,,Dallas,TX,75284-9729,United States
1803,"Customer,Supplier,Expense",Ricardo Pereira,48 FORTY SOLUTIONS - RP,FALSE,48 FORTY SOLUTIONS LLC,PO Box 849729,,Dallas,TX,75284-9729,United States
1804,"Customer,Supplier,Expense",Tiffany White,48 FORTY SOLUTIONS - TW,FALSE,48 FORTY SOLUTIONS,PO Box 849729,,Dallas,TX,75284-9729,United States
1491,Expense,,SOUTHWAY CARRIERS INC,FALSE,COMPASS FUNDING SOLUTIONS LLC,PO BOX 205154,,DALLAS,TX,75320-5154,United States
1493,Expense,,MUCHAI LLC,FALSE,APEX CAPITAL CORP,PO Box 961029,,Fort Worth,TX,76161-1029,United States
2611,"Supplier,Expense",,LIFETIME PRODUCTS,FALSE,Lifetime,ATTN: ACCOUNTING,PO BOX 160010,CLEARFIELD,UT,84016,United States
2257,Expense,,29 LOGISTICS LLC,FALSE,29 LOGISTICS,PO Box 204,,Union Grove,WI,53182,United States
2620,"Supplier,Expense",,SUSTAINABILITY SOLUTIONS LLC,TRUE,SUSTAINABILITY SOLUTIONS LLC,1309 Coffeen Avenue STE 1200,,Sheridan,,82801,United States
2116,Supplier,Igor Beylin,SKAGIT RIVER STEEL & RECYCLING INC,TRUE,SKAGIT RIVER STEEL & RECYCLING INC,1265 S Anacortes St,,Burlington,,98233,United States
,,,,TRUE,,,,,,,
1762,Expense,,BIG SKY ENVIRONMENTAL LLC,TRUE,BIG SKY ENVIRONMENTAL LLC,,,,,,United States
