ReceiptID,BuySellNo,Amount,FxAmount,CurrencyCd,CheckNo,PaymentDt,EntryDt,DiscountAmt,LedgerID,PostingType,Reference,DepositDate,ARBatchNo
10142,51687-JCH,1526.4,1526.4,USD,WITRE 6-7-1,2019-06-07 00:00:00,2019-06-07 00:00:00,0,NULL,CRE,,NULL,1831
10143,51837,3417.6,3417.6,USD,WITRE 6-7-1,2019-06-07 00:00:00,2019-06-07 00:00:00,0,NULL,CRE,,NULL,1831
10144,51838,3601,3601,USD,WITRE 6-7-1,2019-06-07 00:00:00,2019-06-07 00:00:00,0,NULL,CRE,,NULL,1831
10145,51852,2692.9,2692.9,USD,CK 15176,2019-06-10 00:00:00,2019-06-10 00:00:00,0,NULL,CRE,,NULL,1832
10146,51801,3599.4,3599.4,USD,CK 73187,2019-06-10 00:00:00,2019-06-10 00:00:00,0,NULL,CRE,,NULL,1833
10147,51802,3042.2,3042.2,USD,CK 73187,2019-06-10 00:00:00,2019-06-10 00:00:00,0,NULL,CRE,,NULL,1833
10148,51861,26.4,26.4,USD,CK 667225,2019-06-11 00:00:00,2019-06-11 00:00:00,0,1047,UAC,,NULL,1834
10149,51825,6226.4,6226.4,USD,25946,2019-06-14 00:00:00,2019-06-14 00:00:00,0,NULL,CRE,,NULL,1835
10150,51853,2272,2272,USD,CK G667746,2019-06-14 00:00:00,2019-06-14 00:00:00,0,NULL,CRE,,NULL,1836
10151,51854,1746.47,1746.47,USD,CK G667746,2019-06-14 00:00:00,2019-06-14 00:00:00,0,NULL,CRE,,NULL,1836
10152,51790,5004,5004,USD,CK 31978,2019-06-14 00:00:00,2019-06-14 00:00:00,0,NULL,CRE,,NULL,1837
10153,51809,1047.8,1047.8,USD,CK 1884,2019-06-20 00:00:00,2019-06-20 00:00:00,0,NULL,CRE,,NULL,1838
10154,51904,2285.48,2285.48,USD,CK 97531,2019-06-20 00:00:00,2019-06-20 00:00:00,0,NULL,CRE,,NULL,1839
10155,51874,2043.9,2043.9,USD,CK 97531,2019-06-20 00:00:00,2019-06-20 00:00:00,0,NULL,CRE,,NULL,1839
10156,51895,4783.2,4783.2,USD,CK 97531,2019-06-20 00:00:00,2019-06-20 00:00:00,0,NULL,CRE,,NULL,1839
