CRA_ID,CT_ID,RoleNm
1644,48200001,RR
1645,48250001,Freight
1648,48400001,Freight
1649,48400001,Ship / Del Appt
1650,47350001,Collections
1651,47350001,Billing
1653,48500001,Billing
1655,48700001,Sales
1656,48800001,Admin:Pics/Docs
1657,48850001,Admin:Pics/Docs
1662,48950001,Freight
1664,49100001,Admin:Pics/Docs
1669,49150001,Billing
1672,37400001,Billing
1677,19100001,Primary
1679,41500001,Collections
1680,26150001,Primary
1683,36250001,Primary
1684,45250001,Collections
1687,49500001,Billing
1690,49600001,Admin:Pics/Docs
1691,46900001,Collections
1692,49350001,Pricing
1693,49700001,Admin:Pics/Docs
1694,36700001,Primary
1695,39200001,Primary
1701,19500001,Primary
1706,49750001,Owner
1707,23000001,Primary
1708,41150001,Collections
1734,13300001,Admin:Pics/Docs
1735,13300001,Ship / Del Appt
1737,39250001,Primary
1738,38050001,Primary
1743,33000001,Primary
1744,32000001,Primary
1745,32800001,Primary
1754,45950001,Admin:Pics/Docs
1756,49900001,DM
1764,50050001,DM
1765,50100001,Operations Mgr
1766,50150001,DM
1769,50250001,DM
1774,48300001,Sales
1776,50450001,DM
1777,50400001,DM Assistant
1778,50400001,Admin:Pics/Docs
1779,50500001,DM
1783,50550001,Admin:Pics/Docs
1784,50550001,DM
1785,50600001,Primary
1786,50650001,Sales
1787,50700001,DM
1788,25200001,Primary
1789,50750001,Admin:Pics/Docs
1790,50750001,Pricing
1791,50800001,Admin:Pics/Docs
1797,51100001,Operations Mgr
1799,49550001,Pricing
1800,45000001,Collections
1801,51150001,DM
1805,51250001,Operations Mgr
1806,49300001,Admin:Pics/Docs
1807,49300001,Primary
1809,32550001,Primary
1812,51350001,Ship / Del Appt
1813,51400001,Owner
1814,51450001,Ship / Del Appt
1821,51550001,Admin:Pics/Docs
1822,51500001,DM
1823,51500001,Sales
1825,51700001,DM
1826,51650001,Sales
1828,51800001,Sales
1829,51850001,Admin:Pics/Docs
1834,15950001,Primary
1835,16000001,Primary
1836,16050001,Primary
1837,16100001,Primary
1838,16150001,Primary
1840,16250001,Primary
1841,16300001,Primary
1842,16350001,Primary
1843,16400001,Primary
1845,16500001,Primary
1847,16600001,Primary
1848,16650001,Primary
1849,16750001,Primary
1850,16800001,Primary
1851,16850001,Primary
1853,16950001,Primary
1854,17000001,Primary
1855,17050001,Primary
1857,17150001,Primary
1858,17200001,Primary
1859,17250001,Primary
1861,17350001,Primary
1862,17400001,Primary
1865,17550001,Primary
1866,17600001,Primary
1867,17650001,Primary
1869,17750001,Primary
1871,17850001,Primary
1872,17900001,Primary
1873,17950001,Primary
1874,18000001,Primary
1875,18050001,Primary
1876,18100001,Primary
1877,18150001,Primary
1878,18200001,Primary
1879,18250001,Primary
1880,18300001,Primary
1881,18350001,Primary
1882,18400001,Primary
1883,18450001,Primary
1884,18500001,Primary
1885,18550001,Primary
1886,18600001,Primary
1887,18650001,Primary
1888,18700001,Primary
1889,18750001,Primary
1890,18800001,Primary
1891,18850001,Primary
1892,18900001,Primary
1893,18950001,Primary
1894,19000001,Primary
1895,19050001,Primary
1896,19100001,Primary
1897,19150001,Primary
1898,19200001,Primary
1899,19250001,Primary
1900,19300001,Primary
1901,19350001,Primary
1902,19400001,Primary
1903,19450001,Primary
